pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,snr_value,can_separate,in_habitable_zone,suitable_radius,suitable_mass,suitable_temp,potential_magnetic_field,is_habitable,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,1.178,12.2,4914.89849,,G8 III,4874.0,13.76,2.09,93.1846,23387.169196670297,False,True,False,False,,,,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.53,12.3,4684.8142,,K4 III,4213.0,29.79,2.78,125.321,36519.150314266844,False,True,False,False,,,,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.775,13.1,1131.1513,,K0 III,4888.0,11.55,1.78,75.4392,66974.42693358091,False,False,False,False,,,,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.0389,2.774,12.6,2559.47216,,K0 V,5338.0,0.93,0.91,17.9323,554.9094006743535,False,False,False,False,,,,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.66,13.5,565.7374,,G3 V,5750.0,1.13,1.08,21.1397,1889.7772143633968,False,True,False,False,,,,6.06428
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.45,12.9,1373.01872,,K3 III,4157.0,25.92,1.22,124.953,34058.07012668329,False,True,False,False,,,,4.75429
18 Del b,18 Del,2,1,Radial Velocity,2008,982.85,2.476,12.5,2926.24614,,G6 III,4980.0,8.8,2.1,76.222,3397.217944545021,False,False,False,False,,,,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.0,18.647,3000.0,1700.0,K7 V,4060.0,1.31,0.85,139.135,0.0028304785528506875,False,False,False,False,False,,,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.33,0.194,13.9,280.64248,,G3 IV,4816.0,12.19,1.05,95.9863,827970.8547512182,False,False,False,False,,,,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333,13.4,632.46,,K0 IV,5098.0,4.9,1.54,72.0691,4671.359172739684,False,True,False,False,,,,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.08,13.9,273.32,,K0 IV,5098.0,4.9,1.54,72.0691,2064.4144648533197,False,False,False,False,,,,6.20374
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.0,13.0,1271.31363,1450.0,M V,3100.0,0.84,0.17,128.484,0.005187799281605386,False,False,False,False,False,,,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.0,12.3,4131.79,,M5.5/M6,,,0.19,47.2,,False,False,False,False,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.0,11.209,7786.5,1600.0,M3.5 V,3530.0,0.37,0.4,33.8281,0.055587262600501966,False,False,False,False,False,,,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.0,16.141,4417.837,,M6,3064.0,0.28,0.11,40.0896412,0.005222319066822827,False,False,False,False,,,,15.0123
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,,1950.0,12.4,3686.80952,,M6 V,2859.0,0.32,0.05,66.0613,9.488113531406688e-06,False,False,False,False,,,,15.6894
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,,572.0,12.2,5720.91133,2369.0,,2943.0,0.29,0.26,117.435,2.774140772180699e-05,False,False,False,False,False,,,16.9967
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.0,12.6,2383.6,,M8.5,2936.0,0.23,0.02,120.423987,0.025738796764727793,False,False,False,False,,,,18.9668
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,,266.0,11.9,8899.1954,2677.0,,,,,,,,False,False,False,False,,,18.3299
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,,587.0,12.1,6356.56814,2506.0,,3021.0,0.6,0.59,100.862,0.00015036331358366894,False,False,False,False,False,,,14.818
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.0,12.9,1589.15,1250.0,M8,2825.0,0.22,0.02,64.308,0.006438273134667049,False,False,False,False,False,,,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.92,13.4,603.877,,,29564.0,0.2,0.48,396.332,0.5402262159114555,False,False,False,False,,,,12.1376
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,,7493.0,12.4,3813.94088,1616.0,,3592.0,0.67,0.64,34.1154,1.0562836928671606e-05,False,False,False,False,False,,,10.8133
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.0,12.3,3972.875,,K7 V,4045.0,0.64,0.6,69.5737,0.0024200497743781493,False,False,False,False,,,,11.9484
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.99,12.3,4392.4106,,F6 V,6331.0,1.41,1.93,44.657,1538.8595010692977,False,True,False,False,,,,6.96085
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.877,12.6,2511.48007,,K1 III,4415.0,18.11,1.23,73.4603,125450.79242377981,False,False,False,False,,,,4.23773
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.19,13.0,1233.13,,K1.5 III,4200.0,22.03,0.98,90.6545,70476.2913537715,False,True,False,False,,,,4.43216
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.1,13.2,804.08,,G0 V,5872.0,1.21,1.06,13.7967,3038.992103892996,False,False,False,False,,,,4.87837
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.6,14.2,171.621,,G1 V,5872.0,1.21,1.06,13.7967,1196.718448038633,False,False,False,False,,,,4.87837
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,11.6,13.5,521.22,,G0V,5872.0,1.21,1.06,13.7967,104.17700250076787,False,False,False,False,,,,4.87837
51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.2,13.4,635.66,700.0,F0 IV,7295.0,1.49,1.75,29.7575,25.836958438558472,False,False,False,False,False,,,5.15806
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.0527,14.3,146.2018,,G5V,5758.0,1.18,1.03,15.4614,4288616.649871266,True,False,False,False,,,,5.28647
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.1134,13.9,263.9785,700.0,K0 IV-V,5172.0,0.94,0.91,12.5855,838143.2477738688,True,False,False,False,False,,,5.72973
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.2373,8.51,54.4738,,G8V,5172.0,0.94,0.91,12.5855,71742.81329871186,True,False,False,False,,,,5.72973
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,5.957,13.0,1232.493,,G8 V,5172.0,0.94,0.91,12.5855,265.67229269013126,False,False,False,False,,,,5.72973
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,1958.0,G8 V,5172.0,0.94,0.91,12.5855,822664.4138350162,True,False,False,False,False,,,5.72973
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.7708,7.59,44.812,,G8V,5172.0,0.94,0.91,12.5855,5408.974064432684,True,False,False,False,,,,5.72973
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.028,13.4,597.83523,,K0 IV,4941.0,4.94,1.32,54.6599,3566.070523321644,False,False,False,False,,,,5.60686
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.050201,2.11,5.1,,G5 V,5577.0,0.96,0.94,8.50332,225167.44204786816,True,False,False,False,,,,4.54052
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.2175,4.46,18.2,,G5 V,5577.0,0.96,0.94,8.50332,53594.054690997255,True,False,False,False,,,,4.54052
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.476,5.11,22.9,,G5 V,5577.0,0.96,0.94,8.50332,14689.036672503935,True,False,False,False,,,,4.54052
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,1.758,13.4,587.9855,,K1 III,4826.0,4.87,1.34,19.8101,35112.07067625321,False,False,False,False,,,,3.67853
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,2.153,13.9,276.5121,,K1III(+M),4826.0,4.87,1.34,19.8101,25189.881683371077,False,False,False,False,,,,3.67853
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.481,12.6,2380.45,,G5V,5495.0,1.89,1.09,17.9011,76491.84010579887,True,False,False,False,,,,4.76178
75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,1.912,13.3,787.89662,,G3 III,4809.0,10.38,1.92,82.9613,7574.799039954076,False,False,False,False,,,,5.09343
75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,3.929,13.9,289.85951,,G3 III,4809.0,10.38,1.92,82.9613,1959.337056578762,False,False,False,False,,,,5.09343
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.49,13.6,416.3573,,K0,4847.0,10.3,1.44,162.552,30929.68318086215,False,False,False,False,,,,6.55896
81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,2.104,13.1,1051.05854,,G5 III,4734.0,11.21,1.23,101.26,4751.016070461211,False,False,False,False,,,,5.37588
